user,room,weight
88408,1190,18
70804,1120,28
87508,1149,4
87508,1120,24
88967,1138,136
72970,1194,8
4588,392,12
70492,1190,58
58202,1375,68
57229,1149,11
49720,642,9
68380,1143,17
61996,1120,28
66869,1190,36
71370,1120,67
51020,936,8
103460,1178,12
106583,1120,11
49047,663,20
59567,1120,23
18858,669,75
67644,1138,9
28125,725,9
58807,1200,80
88373,1190,11
88373,1138,21
65554,1138,147
68531,1138,8
89604,1138,36
22015,1138,4
22015,663,8
67469,1138,83
14431,305,31
45719,690,26
24758,670,8
11182,1138,1
11182,1178,2
11182,498,7
4545,367,7
4545,1117,3
40294,670,12
60014,1192,19
4035,351,9
4035,670,5
60865,1256,12
28770,670,12
8900,492,82
2194,305,23
88610,1138,15
20820,655,31
5248,343,39
5248,1138,16
40042,655,26
65483,1190,8
40341,642,12
94237,1138,8
45317,815,72
95329,1190,55
28957,845,10
25395,670,25
47980,670,13
55288,655,42
13147,366,10
57533,1125,21
22273,650,53
46057,1149,5
46057,1138,9
46057,663,2
70078,1120,11
36642,663,12
71244,1256,4
71244,1173,4
89848,1138,77
25001,670,32
74888,1138,38
84502,1138,77
35541,690,20
90380,1138,13
67659,1178,18
38067,670,32
80840,1190,23
45966,767,45
84923,1138,10
52054,642,12
86501,1120,28
66785,1138,12
107421,1200,8
5391,351,11
87089,1249,4
87089,1701,5
64887,1120,8
42092,663,9
55900,642,26
79179,1151,20
75869,1136,12
65312,1190,8
92615,1138,8
28419,670,217
49824,832,15
104130,1138,20
23916,670,12
61839,1117,33
64575,1138,8
79869,1174,8
51752,663,9
103524,1182,10
33000,663,23
85141,1138,8
91360,1138,8
28182,690,11
42395,655,8
31815,663,12
61052,1120,11
79453,1297,9
80408,1120,8
104996,1163,49
60251,1138,12
61882,1120,8
46441,642,16
46600,648,10
46600,1705,78
91967,1151,10
28028,663,9
48798,663,14
33517,1138,5
33517,663,48
42161,670,142
79209,1151,10
61290,1200,9
65383,1120,12
87365,1138,10
70225,1190,13
73024,1138,23
72514,1190,13
41936,690,40
25200,642,12
95759,1138,39
57912,1104,36
49320,1138,4
49320,663,8
13234,359,16
66151,1395,10
10019,305,40
19061,642,34
101510,1200,13
29375,670,20
19066,690,14
19066,1178,8
57513,1256,11
53720,663,16
32541,669,12
35384,725,9
37501,642,20
73251,1138,36
79080,1178,56
86123,1190,6
86123,1178,6
56943,1104,69
14802,367,8
46352,1200,3
46352,663,5
66028,1125,15
90999,1151,19
51654,663,49
25157,690,22
39413,733,8
39413,819,16
60124,1190,13
32532,669,28
59773,1140,15
72573,1190,17
72573,1138,3
51336,835,9
107727,1178,8
51422,655,18
46380,663,10
89038,1138,24
5471,351,64
32302,725,24
62575,1138,20
28478,636,16
75631,1194,19
92316,1138,29
25149,663,12
45097,636,177
45097,1151,139
24704,774,28
88133,1120,10
76828,1120,14
24616,670,60
14064,367,10
7986,351,104
5639,305,31
43035,751,35
52817,1126,11
52817,670,8
60226,1120,27
20261,1138,2
20261,663,6
74971,1120,8
36813,663,29
81566,1571,15
103504,1149,4
103504,1161,4
61797,1120,20
52458,1138,4
52458,663,8
80464,1256,32
3844,381,492
11167,367,11
93131,1445,11
75186,1178,12
36759,642,32
93491,1190,15
51695,642,10
69620,1120,12
23364,669,8
23364,782,25
12069,342,12
91265,1138,32
14756,690,2
14756,367,5
14756,362,5
31655,694,15
61283,1104,12
99817,1120,108
90799,1138,54
91985,1138,9
32573,760,8
91268,1161,12
41193,642,72
75546,1138,12
80892,1138,9
47531,690,9
44406,642,16
89441,1190,35
88785,1138,9
47673,689,17
97243,1101,12
28308,670,8
61640,1178,12
21028,748,44
42777,663,12
68706,1190,33
68706,1178,43
95669,1215,16
57333,1178,23
72836,1267,33
89282,1190,6
89282,1178,3
91631,1138,15
27286,670,12
84338,1173,9
22652,669,21
22652,1161,6
18653,690,12
56363,1178,10
20877,647,29
106506,1104,10
61803,1120,66
73966,1138,48
47111,1190,1
47111,663,10
89547,1138,14
39547,663,8
22889,663,8
77271,1151,34
74710,1104,8
93090,1190,11
55057,936,1
55057,712,11
20843,642,8
61250,1149,25
18746,1138,2
18746,655,4
18746,1347,3
66678,1120,40
45959,642,10
87334,1178,68
47782,1282,177
47782,702,7
22166,1149,98
22166,663,41
100476,1267,24
33653,1149,23
33653,663,16
23321,670,8
24181,690,8
48106,1101,9
48106,703,2
77112,1190,5
77112,1178,3
94917,1138,8
94917,1226,10
94095,1120,9
65535,1190,6
65535,1178,10
80757,1178,15
79644,1138,56
68357,1190,42
106277,1190,10
82752,1178,9
52284,669,20
102832,1149,9
23602,689,10
23602,723,18
23602,1436,2
37201,792,11
77143,1190,9
77143,1178,7
83124,1357,35
22982,655,16
106311,1178,15
70450,1190,9
70450,1178,8
59882,1140,12
83755,1291,12
56513,1120,36
57125,1136,12
41677,703,172
103645,1178,11
10072,689,1
10072,405,9
98659,1120,12
80511,1163,8
69497,1120,16
90487,1138,57
35488,753,11
58126,1138,10
41781,670,39
28643,663,62
57684,1138,24
49367,722,15
54215,663,20
48575,642,29
60674,1120,12
4373,367,27
4373,1117,5
88633,1190,30
55014,703,18
23420,663,24
58140,1178,18
92414,1138,15
66863,1226,8
102429,1138,28
32981,753,32
76458,1149,38
37171,642,16
92077,1492,70
91035,1101,159
87813,1138,11
102426,1190,1
102426,1138,4
102426,1178,3
44846,913,15
90640,1101,22
46242,663,8
70386,1359,151
96654,1138,31
38827,690,13
52203,642,23
30840,801,33
51068,1190,2
51068,1138,2
51068,653,4
3144,351,6
3144,670,3
14781,305,18
48540,642,8
69629,1120,9
98398,1428,21
66888,1138,14
36737,703,144
38120,653,19
24903,642,9
56568,1679,24
56568,1235,8
56568,1685,20
25811,663,9
90560,1138,18
85795,1225,40
85206,1117,11
46182,1120,3
46182,1173,5
46182,647,1
58657,1163,59
61000,1138,10
104496,1120,38
39986,797,32
32321,648,8
57995,1104,12
61845,1120,48
18517,812,11
33775,655,20
75340,1178,11
58648,1149,24
45613,669,29
92142,1101,13
105104,1149,28
104599,1149,18
41460,642,16
21408,663,42
92404,1104,20
26752,663,9
96837,1190,31
40514,689,40
66711,1138,176
71455,1190,5
71455,1178,3
62917,1338,17
64157,1226,8
11814,367,52
19835,832,56
33888,848,44
54134,1190,7
54134,751,9
33273,748,2676
98661,1190,17
8062,343,12
36823,663,24
79790,1149,24
14969,305,11
35503,663,15
39540,663,36
50784,663,16
82419,1101,12
60823,1138,52
91092,1151,16
289,80,31
61783,1149,9
62818,1178,14
46451,744,19
33505,663,13
15592,305,58
73059,1149,10
84044,1120,24
71681,1138,19
71681,1120,9
23516,670,18
23362,731,10
23362,973,59
20825,663,272
75574,1104,8
6227,411,2
6227,1338,7
57613,1138,76
68279,1178,8
2689,367,40
14904,305,40
26200,751,12
33873,1190,18
33873,843,41
106030,1120,19
86480,1138,8
64292,1120,8
81283,1138,22
19862,663,28
40064,694,178
24206,636,7
24206,1151,9
106477,1450,47
81159,1190,9
54320,1138,28
54320,1200,1
54320,663,1
42889,670,31
19748,663,8
81554,1135,86
104610,1101,16
45397,725,8
76035,1101,68
77540,1101,8
71634,1101,11
84892,1101,17
68346,1101,20
61760,1120,12
47939,1101,5
47939,703,7
26711,703,48
76364,1217,27
15479,1101,116
15479,305,2
42452,663,10
21254,669,20
26454,745,8
67112,1149,12
98920,1200,23
38285,670,59
78937,1101,8
73197,1104,26
1378,655,9
1378,305,15
42794,642,16
78323,1138,9
68171,1190,11
79502,1101,31
64166,1247,180
87471,1117,11
99615,1104,19
26532,1101,7
26532,1138,19
26532,657,2
33520,663,11
57855,1146,11
36050,848,8
4762,305,30
26451,670,10
102105,1101,11
63512,1424,8
102755,1163,18
54911,655,24
19605,867,8
57762,1138,24
43484,670,13
91155,1101,24
73135,1297,44
31928,642,21
64040,1138,13
95725,1138,3
95725,1200,14
48561,642,11
56966,1138,32
43240,642,63
41114,670,9
104958,1527,28
60156,1138,11
87488,1117,4
87488,1299,5
20750,797,12
24643,642,60
86685,1151,22
45321,964,33
15084,305,11
25754,1101,9
25754,642,3
25754,703,5
39546,1138,5
39546,663,3
82665,1101,12
39045,1284,1
39045,670,10
67937,1138,10
37395,642,8
34538,670,76
84784,1138,12
104036,1120,17
107026,1151,19
44201,642,26
88263,1138,8
21664,689,20
60806,1307,28
101928,1138,8
23340,663,87
54472,642,19
39161,642,29
77373,1138,20
105852,1407,11
1972,393,24
35528,642,18
34311,663,85
53887,642,39
41659,1101,5
41659,642,33
85605,1226,25
46548,718,8
65951,1138,55
26750,663,9
64854,1138,8
99727,1120,32
14161,362,15
87805,1138,8
87805,1200,1
70395,1138,16
66977,1149,36
46978,655,5
46978,648,6
17878,663,31
65201,1190,9
79355,1190,12
79355,1178,4
10726,1199,21
10726,389,3
44548,1101,1
44548,703,7
40708,670,49
53853,690,7
53853,1256,5
55272,1069,64
84064,1458,12
13952,305,8
24242,1101,2
24242,689,7
24242,703,7
52468,655,1
52468,1120,11
42283,670,36
58404,1267,10
58404,1184,18
58404,1282,139
58404,1346,1
107924,1216,10
94383,1117,26
57317,1149,17
4268,450,25
4268,1102,38
10068,343,77
40662,670,27
39912,689,19
102106,1200,12
30960,689,42
27207,916,31
60239,1120,8
107112,1138,8
1223,305,16
102397,1101,16
27529,701,12
63902,1299,109
61088,1347,21
73215,1120,10
77036,1247,15
57453,1101,46
86643,1138,8
86643,1178,8
54886,924,51
74857,1138,12
8118,487,33
40656,670,15
46820,792,75
92112,1101,8
6104,351,21
6104,1182,7
32625,690,24
81118,1223,91
30,45,225
63729,1138,12
71459,1266,15
17377,305,10
30538,694,8
74263,1178,256
34402,648,4
34402,723,4
34402,1436,1
57076,1200,1
57076,1226,17
67169,1138,10
83060,1138,21
83060,1104,6
39587,663,21
99297,1101,10
40002,722,4
40002,864,11
31531,670,116
18908,745,13
43498,690,17
6230,343,14
36238,663,52
97264,1138,16
2142,351,15
2142,670,73
107712,1190,6
107712,1178,6
82946,1117,12
21824,657,11
93957,1149,12
23789,717,13
50245,689,127
50245,1418,45
3340,359,11
35930,655,17
1752,305,17
9048,342,8
38630,642,35
51396,689,5
51396,1351,55
67515,1194,16
99385,1200,10
23515,670,44
88952,1138,10
31606,689,11
69269,1178,8
37535,751,5
37535,1256,3
10514,351,6
10514,670,2
93059,1156,8
4249,1161,1
4249,351,4
4249,670,4
45736,642,60
49604,835,18
88515,1256,11
47075,642,9
47075,663,5
58229,1149,24
77297,1120,56
34881,690,12
57825,1138,58
23053,650,25
24591,636,109
59622,1178,9
52156,1256,3
52156,663,17
94738,1138,9
48912,1138,5
48912,663,3
3384,305,19
72558,1178,11
62200,1430,12
3344,343,8
69450,1182,12
64149,1190,36
23623,689,38
97253,1190,24
70986,1226,14
99709,1178,30
99552,1101,13
88743,1190,5
88743,1149,3
87403,1163,13
56743,1101,21
40979,1138,8
40979,663,25
70794,1247,11
76555,1293,47
107802,1149,17
38817,642,25
69530,1140,6
69530,1126,3
69530,1196,19
43342,689,12
100168,1101,16
87490,1120,9
86195,1190,3
86195,1266,3
86195,1178,2
14464,305,7
14464,642,2
42328,745,12
107564,1101,32
51094,760,24
102410,1156,81
69680,1138,24
77831,1143,164
39929,663,74
46041,642,18
76739,1101,28
81019,1190,10
57481,1178,12
58000,1178,58
77172,1138,22
104202,1138,8
26069,690,100
33060,690,28
47759,655,61
77156,1138,40
11586,305,12
89222,1120,36
104583,1138,12
73493,1142,8
54604,670,10
24302,881,9
73061,1138,8
46969,670,9
96938,1101,8
83015,1101,59
70684,1101,9
57205,1101,28
93342,1101,19
84870,1101,28
70748,1101,32
57628,1182,9
59621,1101,33
81348,1190,8
75640,1138,25
8879,343,16
96376,1138,34
34857,1138,26
34857,663,11
22906,663,15
29271,663,10
68461,1101,136
35437,663,32
9417,305,8
61389,1101,20
26150,642,12
73434,1101,52
11507,305,28
84941,1101,23
84765,1101,8
97502,1101,52
48118,655,8
93038,1101,32
31430,755,21
92893,1274,12
102143,1101,8
5635,456,11
89385,1101,33
81207,1247,10
59424,1140,30
100564,1138,14
64208,1138,24
34197,670,11
51511,663,8
54480,761,10
74998,1104,16
95769,1120,29
15575,305,12
64558,1138,24
71522,1190,9
40537,670,10
83660,1101,77
59645,1375,9
26939,663,54
12666,690,6
12666,367,9
12666,1117,9
70048,1227,22
69003,1178,10
94557,1120,28
63571,1122,1
63571,1429,39
65371,1138,89
83359,1101,8
29158,703,280
100759,1101,16
60696,1101,9
108274,1101,9
32803,670,16
57065,1178,34
82778,1200,8
32128,689,40
11786,305,36
38339,642,11
29410,812,12
26857,1101,9
26857,703,9
71311,1178,13
33678,655,13
66799,1138,14
15370,351,4
15370,670,6
61978,1432,264
73529,1269,11
89163,1138,11
62642,1120,28
21649,663,96
38866,1138,6
38866,1178,9
38866,813,13
98233,1379,12
26408,701,12
42630,1101,5
42630,703,6
58055,1104,12
104282,1104,10
62730,1182,12
74922,1149,9
103883,1165,11
84730,1101,12
35255,1104,3
35255,811,6
40104,655,14
31613,669,92
40033,689,26
70328,1101,8
93886,1101,30
93886,1120,254
69492,1190,5
69492,1178,13
91175,1101,12
78308,1251,9
92332,1101,14
89795,1178,11
76998,1101,40
81331,1200,14
89879,1172,27
14732,1177,4
14732,659,2
14732,359,2
14732,1126,1
14732,1505,2
84128,1138,66
39624,874,8
59982,1217,24
3482,343,12
37379,722,32
23708,843,48
41929,670,20
81970,1101,6
81970,1200,5
98376,1165,9
42362,663,21
66546,1117,16
52279,663,26
80677,1138,18
235,145,174
18974,670,16
34335,803,15
34335,663,3
14065,351,5
14065,1430,3
76922,1190,8
76922,1178,8
105441,1120,12
10194,414,12
57471,1101,20
10267,404,13
60588,1149,11
41045,655,56
51468,811,28
102177,1101,22
21861,711,159
69521,1151,8
21687,655,18
10312,382,76
51743,689,13
68368,1138,25
91286,1101,5
91286,1200,3
26658,718,32
61176,1178,11
66069,1138,332
45532,690,8
19702,722,21
19702,663,11
17767,703,19
31602,1034,8
103832,1173,17
98758,1299,15
63118,1138,68
55700,642,10
69919,1200,12
64864,1138,48
83778,1200,20
56984,1138,24
56984,1178,8
83316,1200,2
83316,1120,9
33913,792,18
81836,1138,17
34318,689,6
34318,1165,3
76689,1104,11
82008,1226,29
98790,1190,11
104337,1117,28
39375,803,34
67254,1138,26
87455,1120,13
107128,1138,16
61931,1142,22
87773,1138,35
1143,305,40
35975,690,6
35975,1182,3
72740,1101,11
75765,1190,1
75765,1178,20
58365,1196,8
21645,1101,5
21645,689,11
52749,655,10
52749,1182,6
75919,1101,181
28580,718,17
63388,1120,25
40857,690,12
70509,1138,10
51952,801,8
34474,751,11
40568,690,16
60947,1120,23
63477,1138,34
86379,1143,16
47825,739,12
77876,1492,12
41319,670,34
28034,947,21
13124,351,12
44891,663,12
22799,655,17
25124,642,32
88813,1190,10
99320,1101,29
76649,1101,30
65525,1101,16
108046,1117,17
71682,1101,208
106231,1178,11
77622,1177,15
12895,367,10
12895,1117,11
34452,663,33
17891,655,9
71446,1120,8
38171,663,8
3067,342,16
108172,1126,11
46687,689,8
36272,690,32
31831,642,34
92264,1146,24
87211,1287,160
55942,723,19
57639,1208,8
30689,1190,1
30689,1138,46
30689,663,36
40888,663,9
98040,1101,8
19424,663,93
68544,1226,18
51364,670,11
68200,1101,81
46443,670,16
76566,1126,12
24304,812,43
87098,1138,9
74390,1138,22
4605,1200,2
4605,367,14
4605,1117,8
66892,1138,27
23122,655,13
12276,368,16
34793,739,22
96901,1101,16
15880,342,18
107968,1267,35
92341,1101,8
69220,1120,20
78043,1120,23
93771,1178,8
35550,642,72
50970,689,16
37326,670,10
36106,703,17
26274,690,10
68148,1139,30
65485,1251,17
24030,767,40
56550,1178,14
59087,1139,24
14885,342,8
62060,1138,8
83252,1190,8
30370,703,19
88129,1138,29
99969,1101,12
59459,1149,8
48982,642,95
104627,1101,32
59035,1101,24
30702,832,24
34135,655,9
41385,1101,5
41385,642,21
41385,1126,14
96159,1138,40
85442,1138,38
50473,753,12
39649,663,35
36482,819,16
20388,663,52
74507,1149,12
26139,663,151
74724,1140,9
70574,1101,144
69328,1120,10
103325,1161,26
86739,1138,15
77082,1491,57
75498,1138,28
69658,1117,8
78580,1101,22
59015,1173,29
79368,1295,23
35900,663,8
84849,1149,8
86484,1101,14
29563,718,17
17862,670,77
76090,1138,42
76090,1200,1
64655,1190,40
16559,411,92
83040,1258,39
26239,642,12
98343,1149,64
17163,411,31
81974,1200,26
89514,1138,16
16431,405,6
16431,663,9
38964,670,42
62708,1143,9
83761,1138,10
81752,1138,4
81752,1357,4
24141,833,15
52845,745,14
105005,1149,17
61300,1143,15
48660,665,14
94708,1138,10
70945,1149,25
13565,367,40
89900,1120,82
18565,663,12
73152,1104,88
20007,669,8
58826,1217,47
26417,642,40
56506,1101,118
64673,1138,617
20281,703,100
36061,715,21
74990,1101,99
88487,1138,40
42237,690,12
19315,843,24
72312,1104,48
32117,703,34
46685,1138,6
46685,689,2
15904,305,41
62488,1200,1
62488,1120,8
79684,1101,11
98434,1190,3
98434,1138,3
98434,1178,3
76389,1104,33
33766,655,12
38084,642,12
85826,1409,9
85826,1173,8
43610,642,81
107873,1101,16
73199,1104,140
45176,732,95
23083,663,8
66092,1138,16
38470,669,11
89902,1149,8
71312,1120,8
104762,1140,44
10244,450,3
10244,702,9
21276,669,24
22172,655,36
85156,1178,8
66005,1214,528
13966,343,16
31265,1101,49
31265,703,1
23475,655,69
71302,1190,71
71302,1178,11
92160,1101,38
62741,1138,10
46024,642,8
57617,1149,25
20341,663,17
28474,1101,11
28474,703,12
93330,1101,40
81924,1138,38
92390,1101,14
17815,1101,103
17815,703,26
26226,670,11
77558,1151,9
12654,305,8
88639,1101,17
32434,690,5
