user,room,weight
0,3,1
0,6,5
0,9,1
0,10,1
0,11,105
0,13,1
0,204,1
0,14,3
0,15,1
0,17,50
0,19,1
0,119,1
0,25,55
1,28,11
1,34,1
1,9,113
1,44,48
2,47,84
3,33,10
3,107,1
38720,33,12
38720,109,1
6,368,3
6,33,94
6,109,19
6,60,1
6,65,2
6,204,8
6,69,162
66451,33,8
8,73,2
8,33,132
8,107,12
8,71,3
8,53,147
8,109,27
10,33,15
10,37,2
66452,29,2
66452,114,1
66452,160,2
66452,33,38
66452,35,2
66452,37,3
66452,107,11
66452,71,13
66452,108,1
66452,109,3
66453,36,9
14,33,11
15,33,36
15,35,1
15,122,70
15,58,1
15,71,1
15,40,2
16,160,25
16,33,3
16,58,1
66454,128,4
66454,114,11
66454,33,19
66454,58,18
66454,71,12
66454,95,2
66455,33,7
66455,175,1
66455,109,12
18,114,1
18,33,24
18,107,3
18,109,6
19,40,9
19,53,1
66456,276,1
66456,320,14
66456,479,1
66456,141,2
66456,248,6
22,29,26
22,31,62
22,114,1
22,160,1
22,33,1
22,35,21
22,89,5
22,222,3
22,107,1
22,71,4
22,40,5
66457,33,19
66457,35,5
66457,36,29
66457,40,13
66457,53,3
23,53,8
24,40,10
66458,31,747
66458,160,2
66458,33,19
66459,33,12
66460,160,2
66460,71,11
26,157,822
26,176,7
66461,36,81
28,160,1
28,33,3
28,129,3
28,58,29
28,71,3
28,109,9
66462,33,9
66462,107,3
66462,71,8
31,33,1
31,88,14
31,107,2
66463,26,11
66463,29,88
66463,31,290
66463,160,80
66463,40,11
33,33,15
34,33,13
34,109,4
35,33,8
35,101,3
35,182,1
66464,216,6
66464,31,3
66464,160,2
66464,33,78
66464,71,1
66464,109,12
66464,141,1
66465,33,8
36,33,2
36,189,13
36,877,1
66466,33,27
39,57,2
39,175,8
39,71,2
66467,35,8
44,33,1
44,35,5
44,51,38
45,160,1
45,33,3
45,71,4
45,109,9
46,33,4
46,107,1
46,40,2
46,67,2
66468,33,140
66469,33,32
66469,175,168
66469,109,49
49,33,2
49,175,8
49,71,2
38725,33,4
38725,109,8
38726,175,16
66470,160,1
66470,33,18
66470,71,1
52,58,7
52,51,1
52,267,20
53,33,5
53,109,4
53,875,1
66471,33,8
58,160,1
58,33,22
58,107,2
58,71,2
58,109,6
66472,122,8
59,61,4
59,135,3
59,36,1
66473,33,14
66473,109,1
60,36,4
60,142,8
60,40,26
60,346,39
61,33,29
61,35,1
61,222,8
61,109,4
38729,33,9
38729,109,8
66474,33,19
66475,160,3
66475,33,7
66476,33,1
66476,122,4
66476,58,3
64,31,1
64,33,4
64,35,11
64,36,10
64,40,6
38731,115,42
38731,109,38
66477,33,9
66,33,51
66,107,1
66,71,1
66,109,2
67,216,13
67,57,1
67,143,2
69,33,6
69,71,1
69,109,1
70,33,4
70,107,1
70,71,7
70,109,14
72,33,26
72,71,17
72,109,34
73,114,1
73,160,4
73,33,110
73,107,11
73,175,1
73,71,77
73,108,1
73,109,5
77,114,1
77,33,118
77,74,2
77,175,1
77,71,14
77,109,6
66478,40,23
66479,33,86
79,84,3
79,33,7
79,71,1
79,109,29
81,33,4
81,109,5
66480,320,1
66480,33,25
66480,97,2
82,31,8
66481,133,1
66481,320,5
66481,33,24
66481,117,1
66481,109,1
66482,33,10
66482,71,5
66482,109,2
83,160,1
83,33,8
83,71,15
83,109,12
66483,33,113
66483,71,1
66483,109,1
66484,33,5
66484,36,1
66484,7,15
66484,488,6
66484,71,5
66484,109,2
66484,229,1
66485,33,8
87,33,120
87,71,2
87,109,20
66486,33,12
89,26,1
