user,room,weight,consumption
0,0,3,0.3
0,4,3,0.3
0,5,1,0.1
0,11,456,73.61
0,17,36,3.4
0,25,76,13.7
1,28,131,2417.1
1,29,12,0.0
1,31,11,0.0
1,34,1,0.0
1,9,313,4972.1
1,38,55,0.0
1,39,2,6.1
1,40,23,0.0
1,44,197,2069.5
2,47,38,449.9
3,33,190,64.3
38720,33,77,8.6
5,36,20,58.0
8,33,32,39.4
8,109,5,5.4
9,31,12,98.4
18,33,12,84.8
38721,26,17,50.5
32,48,27,55.0
32,346,15,1.0
38722,33,34,0.3
36,33,1,10.0
36,189,15,5.7
37,50,164,58.3
40,48,1,0.1
40,26,3,0.3
40,35,2,0.2
40,36,2,0.2
40,40,1,0.1
45,33,13,38.3
38723,346,55,8.2
38724,33,12,0.0
38725,33,92,71.5
38726,26,13,93.6
38727,38,63,56.3
51,71,78,14.4
57,33,27,0.0
57,89,64,0.0
58,33,93,43.4
38728,7,150,62.0
59,36,27,18.9
59,71,15,15.0
60,40,141,52.1
60,346,33,1.8
38729,40,37,0.0
38730,33,8,0.0
38731,33,29,0.0
69,33,37,46.5
73,71,12,9.9
73,40,48,16.2
38732,31,12,91.1
77,33,12,0.0
38733,33,12,0.0
38733,109,10,0.0
81,33,46,15.2
82,31,315,57.0
38734,84,26,0.0
38734,33,56,0.0
38735,7,32,52.1
38736,40,37,13.6
38737,40,8,35.0
38738,346,79,39.7
93,160,7,15.3
93,33,10,16.1
93,58,4,4.0
93,55,1,5.0
103,286,8,24.5
38739,186,8,1.7
118,33,231,17.1
119,36,10,99.0
120,84,10,0.0
38740,33,13,67.0
123,33,10,6.9
38741,38,135,11.5
38742,33,95,36.3
129,61,120,86.6
130,222,12,0.0
132,33,7,18.5
132,109,3,11.0
139,222,22,10.9
139,175,1,0.0
38743,29,8,0.8
144,167,8,16.0
144,40,1,2.0
149,84,6,7.2
149,111,1,0.1
149,247,1,0.1
151,35,5,5.0
151,36,37,40.0
151,109,1,1.0
152,192,58,33.7
163,35,9,32.5
163,74,7,7.5
164,35,8,7.4
38744,33,65,15.5
166,54,200,44.0
170,36,1,0.0
170,40,10,0.9
38745,31,80,66.3
38746,29,1,10.0
38746,36,7,35.21
38747,36,39,70.0
181,35,8,84.0
182,31,102,45.1
38748,33,25,0.4
38748,7,7,0.5
184,29,1,1.0
